"","Est","SD","Est","SD","Est","SD"
"beta.i10",1.9155,0.8164,3.8801,0.7058,5.1216,0.9932
"beta.i11",-0.0071,0.0216,0.1579,0.031,0.4762,0.0456
"beta.i12",0.0052,0.0017,0.005,0.0047,0.009,0.0093
"beta.i13",0.025,0.0108,0.0146,0.0088,0.0033,0.0119
"beta.i14",-0.0595,0.0177,-0.0132,0.0216,-0.0223,0.0295
"beta.i15",0.3979,0.1285,-0.4653,0.1341,0.1003,0.1747
"beta.i20",4.5516,0.0508,4.5132,0.0639,4.283,0.0717
"beta.i21",-0.0046,5e-04,-0.0083,0.0013,-0.0258,0.0025
"beta.i22",2e-04,0,-4e-04,2e-04,2e-04,5e-04
"beta.i23",-0.0035,6e-04,-0.0036,8e-04,-7e-04,8e-04
"beta.i24",-8e-04,0.0012,-8e-04,0.002,-0.0029,0.0025
"beta.i25",0.0464,0.008,0.0698,0.013,0.0574,0.0154
"D.i11",0.1447,0.9939,0.0676,0.7994,0.3079,0.6145
"D.i21",2e-04,0.0021,-7e-04,0.0028,-0.0111,0.0074
"D.i22",0.0013,7e-04,0.0021,0.0033,0.0034,0.0014
"Sigma.i11",0.3456,0.9887,0.2289,0.8968,0.422,0.6156
"Sigma.i12",-2e-04,6e-04,-4e-04,0.0016,-0.0031,0.0047
"Sigma.i22",2e-04,7e-04,5e-04,0.0018,9e-04,0.0013
"phi.i",0.5555,1.0762,0.6074,1.2463,0.6339,0.3214
"ga.i",0.3437,0.5683,0.2952,0.4082,0.5943,0.7867
"nu.i",0.4106,0.0947,0.579,5.0815,0.0532,0.027
"rho.i",0.4637,0.033,0.8048,0.4553,0.155,0.02
